Cause,TotalDeaths
C962,1678.0
C963,162.0
C964,509.0
C965,75.0
C966,2723.0
C967,6534.0
C968,2211.0
C969,41791.0
C97,432952.0
CH00,210210.0
CH01,4285.0
CH02,46069.0
CH03,511.0
CH04,10236.0
CH05,1217.0
CH06,4903.0
CH07,0.0
CH08,10.0
CH09,73841.0
CH10,19974.0
CH11,9294.0
CH12,618.0
CH13,480.0
CH14,5291.0
CH15,12.0
CH16,437.0
CH17,411.0
CH18,22594.0
CH20,10027.0
D00,13224.0
D000,855.0
D001,1110.0
D002,2947.0
D01,10227.0
D010,1678.0
D011,184.0
D012,666.0
D013,110.0
D014,522.0
D015,1926.0
D017,534.0
D019,842.0
D02,6121.0
D020,881.0
D021,54.0
D022,4393.0
D023,164.0
D024,428.0
D03,342.0
D030,22.0
D031,10.0
D032,38.0
D033,134.0
D034,38.0
D035,92.0
D036,66.0
D037,200.0
D038,258.0
D039,632.0
D04,1223.0
D040,76.0
D041,36.0
D042,88.0
D043,420.0
D044,214.0
D045,118.0
D046,94.0
D047,122.0
D048,110.0
D049,1604.0
D05,19342.0
D050,162.0
D051,460.0
D057,332.0
D059,2620.0
D06,3722.0
D060,232.0
D061,50.0
D067,214.0
D069,2368.0
D07,4780.0
D070,367.0
D071,209.0
D072,71.0
D073,394.0
D074,140.0
D075,3271.0
D076,88.0
D09,39452.0
D090,1216.0
D091,232.0
D092,120.0
D093,298.0
D097,1238.0
D099,2508.0
D10,563.0
D100,64.0
D101,129.0
D102,74.0
D103,211.0
D104,68.0
D105,111.0
D106,236.0
D107,92.0
D109,363.0
D11,337.0
D110,544.0
D117,80.0
D119,336.0
D12,1313.0
D120,533.0
D121,212.0
D122,284.0
D123,192.0
D124,134.0
D125,692.0
D126,7550.0
D127,314.0
D128,1148.0
D129,232.0
D13,3448.0
D130,686.0
D131,2894.0
D132,1020.0
D133,324.0
D134,5155.0
D135,1745.0
D136,3246.0
D137,3038.0
D139,1633.0
D14,1980.0
D140,404.0
D141,1072.0
D142,225.0
D143,4268.0
D144,259.0
D15,1619.0
D150,7419.0
D151,6429.0
D152,585.0
D157,262.0
D159,287.0
D16,1997.0
D160,46.0
D161,28.0
D162,138.0
D163,30.0
D164,692.0
D165,663.0
D166,545.0
D167,44.0
D168,291.0
D169,1141.0
D17,466.0
D170,180.0
D171,64.0
D172,74.0
D173,38.0
D174,126.0
D175,384.0
D176,4.0
D177,946.0
D179,992.0
D18,3233.0
D180,16906.0
D181,9907.0
D19,186.0
D190,954.0
D191,132.0
D197,56.0
D199,160.0
D20,184.0
D200,480.0
D201,488.0
D21,1276.0
D210,778.0
D211,38.0
D212,115.0
D213,198.0
D214,424.0
D215,139.0
D216,64.0
D219,3511.0
D22,224.0
D220,29.0
D221,12.0
D222,4.0
D223,21.0
D224,12.0
D225,30.0
D227,2.0
D229,362.0
D23,770.0
D230,12.0
D231,23.0
D232,102.0
D233,94.0
D234,124.0
D235,297.0
D236,30.0
D237,118.0
D239,1559.0
D24,1722.0
D25,2790.0
D250,132.0
D251,192.0
D252,58.0
D259,10187.0
D26,384.0
D260,292.0
D261,178.0
D267,31.0
D269,960.0
D27,5204.0
D28,82.0
D280,60.0
D281,20.0
D282,44.0
D287,93.0
D289,169.0
D29,998.0
D290,30.0
D291,8378.0
D292,133.0
D293,2.0
D294,20.0
D297,28.0
D299,131.0
D30,1044.0
D300,1613.0
D301,144.0
D302,42.0
D303,1376.0
D304,40.0
D307,12.0
D309,227.0
D31,120.0
D310,25.0
D311,28.0
D312,16.0
D313,24.0
D314,88.0
D315,20.0
D316,106.0
D319,135.0
D32,9169.0
D320,73512.0
D321,1543.0
D329,121561.0
D33,9189.0
D330,7495.0
D331,2964.0
D332,17040.0
D333,7176.0
D334,826.0
D337,557.0
D339,2647.0
D34,1693.0
D35,2065.0
D350,5758.0
D351,1338.0
D352,25451.0
D353,230.0
D354,148.0
D355,32.0
D356,34.0
D357,60.0
D358,6.0
D359,204.0
D36,2592.0
D360,663.0
D361,4722.0
D367,1910.0
D369,4091.0
D37,22487.0
D370,30105.0
D371,44333.0
D372,18480.0
D373,1383.0
D374,87647.0
D375,27967.0
D376,132836.0
D377,120770.0
D379,30026.0
D38,13964.0
D380,12386.0
D381,211035.0
D382,5026.0
D383,35593.0
D384,1215.0
D385,4478.0
D386,5008.0
D39,4564.0
D390,17671.0
D391,31004.0
D392,465.0
D397,4754.0
D399,5204.0
D40,1188.0
D400,33293.0
D401,3266.0
D407,800.0
D409,767.0
D41,4504.0
D410,59126.0
D411,4090.0
D412,6036.0
D413,535.0
D414,98155.0
D417,424.0
D419,4346.0
D42,808.0
D420,3910.0
